report_date,idx,group_0,group_1,fmt,value,mapped_values
2026-03-31,0040,Level of EVE - Baseline scenario,0030,integer,0.0,"['(mi1010) Economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2026-03-31,0010,Delta  EVE - Parallel shock up,0040,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2026-03-31,0030,Delta  EVE - Parallel shock up,0040,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2026-03-31,0040,Delta  EVE - Parallel shock up,0040,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2026-03-31,0010,Delta EVE -  Parallel shock down,0050,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2026-03-31,0030,Delta EVE -  Parallel shock down,0050,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2026-03-31,0040,Delta EVE -  Parallel shock down,0050,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x94) Parallel shock down']"
2026-03-31,0010,Delta EVE - Steepener shock,0060,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x100) Steepener shock']"
2026-03-31,0030,Delta EVE - Steepener shock,0060,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x100) Steepener shock']"
2026-03-31,0040,Delta EVE - Steepener shock,0060,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x100) Steepener shock']"
2026-03-31,0010,Delta EVE - Flattener shock,0070,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x91) Flattener shock']"
2026-03-31,0030,Delta EVE - Flattener shock,0070,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x91) Flattener shock']"
2026-03-31,0040,Delta EVE - Flattener shock,0070,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x91) Flattener shock']"
2026-03-31,0010,Delta EVE - Short rates shock up,0080,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x98) Short rate shock up']"
2026-03-31,0030,Delta EVE - Short rates shock up,0080,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x98) Short rate shock up']"
2026-03-31,0040,Delta EVE - Short rates shock up,0080,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x98) Short rate shock up']"
2026-03-31,0010,Delta EVE -  Short rates shock down,0090,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x97) Short rate shock down']"
2026-03-31,0030,Delta EVE -  Short rates shock down,0090,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x97) Short rate shock down']"
2026-03-31,0040,Delta EVE -  Short rates shock down,0090,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x97) Short rate shock down']"
