report_date,idx,group_0,group_1,fmt,value,mapped_values
2026-03-31,0010,Overnight,0070,integer,8283.78,"['(mi1027) Notional repricing cash flows [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(AP:x252) Contractual conditions', '(MC:x1297) Fixed rate', '(TR:x9) Interest rate risk', '', '(PL:x11) Banking book', '(TI:x59) <= 1 day', '', '']"
2026-03-31,0030,Overnight,0070,integer,7163.81,"['(mi1027) Notional repricing cash flows [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(AP:x252) Contractual conditions', '(MC:x1297) Fixed rate', '(TR:x9) Interest rate risk', '', '(PL:x11) Banking book', '(TI:x59) <= 1 day', '', '']"
2026-03-31,0040,Overnight,0070,integer,1119.97,"['(mi1027) Notional repricing cash flows [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(AP:x252) Contractual conditions', '(MC:x1297) Fixed rate', '(TR:x9) Interest rate risk', '', '(PL:x11) Banking book', '(TI:x59) <= 1 day', '', '']"
