report_date,idx,group_0,group_1,fmt,value,mapped_values
2025-06-30,0080,Amount,0010,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x2) Equity', '(CS:x98) Short rate shock up', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0090,Amount,0010,integer,0.0,"['(mi1001) Change in the economic value of equity [mi]', '(BA:x2) Equity', '(CS:x97) Short rate shock down', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0120,Amount,0010,integer,16713764.0,"['(mi1022) Net interest income [mi]', '(BA:x1) Income or expenses', '(CS:x6) Baseline scenario', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0130,Amount,0010,integer,16320946.0,"['(mi1000) Change in net interest income [mi]', '(BA:x1) Income or expenses', '(CS:x95) Parallel shock up', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0140,Amount,0010,integer,-16320946.0,"['(mi1000) Change in net interest income [mi]', '(BA:x1) Income or expenses', '(CS:x94) Parallel shock down', '(TR:x9) Interest rate risk', '(PL:x11) Banking book']"
2025-06-30,0010,Level of NII - Baseline scenario,0100,integer,16713765.0,"['(mi1022) Net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2025-06-30,0030,Level of NII - Baseline scenario,0100,integer,12061878.0,"['(mi1022) Net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2025-06-30,0040,Level of NII - Baseline scenario,0100,integer,6200641.0,"['(mi1022) Net interest income [mi]', '(BA:x6) Assets', '(MC:x1305) All assets other than securities and derivatives', '(CT:x12) Credit institutions', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x6) Baseline scenario']"
2025-06-30,0010,Delta NII - Parallel shock up,0110,integer,16320947.0,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
2025-06-30,0030,Delta NII - Parallel shock up,0110,integer,10782735.0,"['(mi1000) Change in net interest income [mi]', '(BA:x6) Assets', '(MC:x25) All assets', '(CT:x10) Central banks', '(TR:x9) Interest rate risk', '(PL:x11) Banking book', '(CS:x95) Parallel shock up']"
